ngram,distance,timestamp,corpus,tokens,mfw_min_grid,mfw_max_grid,n_mfw_used,mean_ari_hclust,median_ari_hclust,sd_ari_hclust,mean_ari_kmeans,median_ari_kmeans,sd_ari_kmeans
1,argamon,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.8096064211977436,0.8245493542909755,0.04556599791187418,0.7826699715234939,0.8058881687355817,0.04204632981566276
1,canberra,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.8096064211977436,0.8245493542909755,0.04556599791187418,0.7826699715234939,0.8058881687355817,0.04204632981566276
1,cosine,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.8096064211977436,0.8245493542909755,0.04556599791187418,0.7826699715234939,0.8058881687355817,0.04204632981566276
1,delta,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.8096064211977436,0.8245493542909755,0.04556599791187418,0.7826699715234939,0.8058881687355817,0.04204632981566276
1,eder,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.8096064211977436,0.8245493542909755,0.04556599791187418,0.7826699715234939,0.8058881687355817,0.04204632981566276
1,euclidean,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.8096064211977436,0.8245493542909755,0.04556599791187418,0.7826699715234939,0.8058881687355817,0.04204632981566276
1,simple,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.8096064211977436,0.8245493542909755,0.04556599791187418,0.7826699715234939,0.8058881687355817,0.04204632981566276
2,argamon,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.5164780992856253,0.5500903724758806,0.1166268182250717,0.5248789487255763,0.533359175907133,0.11581015607418764
2,canberra,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.5164780992856253,0.5500903724758806,0.1166268182250717,0.5248789487255763,0.533359175907133,0.11581015607418764
2,cosine,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.5164780992856253,0.5500903724758806,0.1166268182250717,0.5248789487255763,0.533359175907133,0.11581015607418764
2,delta,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.5164780992856253,0.5500903724758806,0.1166268182250717,0.5248789487255763,0.533359175907133,0.11581015607418764
